NAME,population,metropolitan statistical area/micropolitan statistical area
"San Germán, PR Metro Area",119361.0,41900
"Twin Falls, ID Metro Area",118253.0,46300
"Sheboygan, WI Metro Area",117747.0,43100
"Goldsboro, NC Metro Area",116835.0,24140
"Wooster, OH Micro Area",116710.0,49300
"Cookeville, TN Micro Area",116526.0,18260
"Lumberton, NC Micro Area",116328.0,31300
"Watertown-Fort Drum, NY Metro Area",116295.0,48060
"Anniston-Oxford, AL Metro Area",115972.0,11500
"Brunswick, GA Metro Area",115033.0,15260
"California-Lexington Park, MD Metro Area",114468.0,15680
"Weirton-Steubenville, WV-OH Metro Area",113798.0,48260
"Beckley, WV Metro Area",113698.0,13220
"Williamsport, PA Metro Area",113605.0,48700
"Michigan City-La Porte, IN Metro Area",112390.0,33140
"Roseburg, OR Micro Area",111978.0,40700
"Muncie, IN Metro Area",111871.0,34620
"Longview, WA Metro Area",111524.0,31020
"Lewiston-Auburn, ME Metro Area",111034.0,30340
"Richmond-Berea, KY Micro Area",109390.0,40080
"Kalispell, MT Micro Area",108454.0,28060
"Show Low, AZ Micro Area",108147.0,43320
"Ogdensburg-Massena, NY Micro Area",108051.0,36300
"Tullahoma-Manchester, TN Micro Area",107220.0,46100
"Whitewater, WI Micro Area",106799.0,48580
"Kankakee, IL Metro Area",106601.0,28100
"Ithaca, NY Metro Area",105162.0,27060
"Bluefield, WV-VA Micro Area",104994.0,14140
"Fond du Lac, WI Metro Area",104362.0,22540
"LaGrange, GA-AL Micro Area",104261.0,29300
"Gettysburg, PA Metro Area",104127.0,23900
"Mankato, MN Metro Area",103612.0,31860
"Truckee-Grass Valley, CA Micro Area",103487.0,46020
"Grand Forks, ND-MN Metro Area",103462.0,24220
"Sebring-Avon Park, FL Metro Area",103296.0,42700
"Gadsden, AL Metro Area",103162.0,23460
"Bay City, MI Metro Area",102985.0,13020
"Pinehurst-Southern Pines, NC Micro Area",102763.0,38240
"Decatur, IL Metro Area",102432.0,19500
"Danville, VA Micro Area",102187.0,19260
"Lima, OH Metro Area",101670.0,30620
"Salem, OH Micro Area",101310.0,41400
"Cheyenne, WY Metro Area",100863.0,16940
"Victoria, TX Metro Area",100796.0,47020
"Shelby, NC Micro Area",100359.0,43140
"Hot Springs, AR Metro Area",100330.0,26300
"Moses Lake, WA Micro Area",100297.0,34180
