population,msa,gender,edu,race
2659,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE
602,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,Less than high school diploma,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE
774,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,High school graduate (includes equivalency),NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE
541,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,Less than high school diploma,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE
791,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,High school graduate (includes equivalency),NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE
1081,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,Some college or associate's degree,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE
664,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,Bachelor's degree or higher,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE
5736,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",,,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE
3077,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE
687459,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,Some college or associate's degree,WHITE ALONE
661625,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,High school graduate (includes equivalency),WHITE ALONE
183804,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,Less than high school diploma,WHITE ALONE
1757531,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,Bachelor's degree or higher,WHITE ALONE
668237,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,Some college or associate's degree,WHITE ALONE
165798,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,Less than high school diploma,WHITE ALONE
751644,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,High school graduate (includes equivalency),WHITE ALONE
188537,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,Some college or associate's degree,SOME OTHER RACE ALONE
177654,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,Bachelor's degree or higher,SOME OTHER RACE ALONE
246691,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,Less than high school diploma,SOME OTHER RACE ALONE
237063,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,High school graduate (includes equivalency),SOME OTHER RACE ALONE
137590,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,Bachelor's degree or higher,SOME OTHER RACE ALONE
265990,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,High school graduate (includes equivalency),SOME OTHER RACE ALONE
175232,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,Some college or associate's degree,SOME OTHER RACE ALONE
247338,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,Less than high school diploma,SOME OTHER RACE ALONE
1875986,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,Bachelor's degree or higher,WHITE ALONE
35798,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,,AMERICAN INDIAN AND ALASKA NATIVE ALONE
1767,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,Graduate or professional degree,AMERICAN INDIAN AND ALASKA NATIVE ALONE
7727,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,Less than 9th grade,AMERICAN INDIAN AND ALASKA NATIVE ALONE
39330,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,,AMERICAN INDIAN AND ALASKA NATIVE ALONE
75128,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",,,AMERICAN INDIAN AND ALASKA NATIVE ALONE
6671,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,"Some college, no degree",AMERICAN INDIAN AND ALASKA NATIVE ALONE
2385,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,GED or alternative credential,AMERICAN INDIAN AND ALASKA NATIVE ALONE
8344,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,Regular high school diploma,AMERICAN INDIAN AND ALASKA NATIVE ALONE
5631,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,"9th to 12th grade, no diploma",AMERICAN INDIAN AND ALASKA NATIVE ALONE
4423,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,Bachelor's degree,AMERICAN INDIAN AND ALASKA NATIVE ALONE
2382,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Male,Associate's degree,AMERICAN INDIAN AND ALASKA NATIVE ALONE
2424,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,GED or alternative credential,AMERICAN INDIAN AND ALASKA NATIVE ALONE
7267,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,Regular high school diploma,AMERICAN INDIAN AND ALASKA NATIVE ALONE
3309,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,"9th to 12th grade, no diploma",AMERICAN INDIAN AND ALASKA NATIVE ALONE
6860,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,Less than 9th grade,AMERICAN INDIAN AND ALASKA NATIVE ALONE
2739,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,Graduate or professional degree,AMERICAN INDIAN AND ALASKA NATIVE ALONE
5792,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,Bachelor's degree,AMERICAN INDIAN AND ALASKA NATIVE ALONE
2349,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,Associate's degree,AMERICAN INDIAN AND ALASKA NATIVE ALONE
5058,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,"Some college, no degree",AMERICAN INDIAN AND ALASKA NATIVE ALONE
852220,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",Female,Graduate or professional degree,"WHITE ALONE, NOT HISPANIC OR LATINO"
